index,x,r,g,b,hex
245,0.95703125,0.51193311,0.31942076,0.00000000,#835100
246,0.96093750,0.50637729,0.31584321,0.00000000,#815100
247,0.96484375,0.50083614,0.31227499,0.00000000,#805000
248,0.96875000,0.49530969,0.30871609,0.00000000,#7e4f00
249,0.97265625,0.48979793,0.30516653,0.00000000,#7d4e00
250,0.97656250,0.48430088,0.30162631,0.00000000,#7b4d00
251,0.98046875,0.47881855,0.29809543,0.00000000,#7a4c00
252,0.98437500,0.47335095,0.29457391,0.00000000,#794b00
253,0.98828125,0.46789811,0.29106175,0.00000000,#774a00
254,0.99218750,0.46246004,0.28755896,0.00000000,#764900
255,0.99609375,0.45703675,0.28406556,0.00000000,#754800
256,1.00000000,0.45162828,0.28058155,0.00000000,#734800
