index,x,r,g,b,hex
160,0.62745098,0.36142902,0.66282235,0.58132840,#5ca994
161,0.63137255,0.36437066,0.66629323,0.58455766,#5daa95
162,0.63529412,0.36731394,0.66976738,0.58779018,#5eab96
163,0.63921569,0.37025888,0.67324479,0.59102595,#5eac97
164,0.64313725,0.37320550,0.67672545,0.59426497,#5fad98
165,0.64705882,0.37615383,0.68020935,0.59750722,#60ad98
166,0.65098039,0.37910389,0.68369648,0.60075270,#61ae99
167,0.65490196,0.38205568,0.68718684,0.60400139,#61af9a
168,0.65882353,0.38500924,0.69068041,0.60725328,#62b09b
169,0.66274510,0.38796457,0.69417719,0.61050837,#63b19c
170,0.66666667,0.39092169,0.69767717,0.61376665,#64b29d
171,0.67058824,0.39388062,0.70118033,0.61702810,#64b39d
172,0.67450980,0.39684138,0.70468668,0.62029272,#65b49e
173,0.67843137,0.39980397,0.70819620,0.62356050,#66b59f
174,0.68235294,0.40276842,0.71170888,0.62683143,#67b5a0
175,0.68627451,0.40573473,0.71522472,0.63010549,#67b6a1
176,0.69019608,0.40870293,0.71874371,0.63338269,#68b7a2
177,0.69411765,0.41167301,0.72226583,0.63666301,#69b8a2
178,0.69803922,0.41464500,0.72579109,0.63994644,#6ab9a3
179,0.70196078,0.42471576,0.72867860,0.63687722,#6cbaa2
180,0.70588235,0.44152285,0.73088869,0.62735917,#71baa0
181,0.70980392,0.45789587,0.73304926,0.61771031,#75bb9e
182,0.71372549,0.47388324,0.73516061,0.60792330,#79bb9b
183,0.71764706,0.48952576,0.73722303,0.59799018,#7dbc98
184,0.72156863,0.50485812,0.73923680,0.58790227,#81bd96
185,0.72549020,0.51991010,0.74120217,0.57765011,#85bd93
186,0.72941176,0.53470746,0.74311939,0.56722330,#88bd91
187,0.73333333,0.54927265,0.74498869,0.55661046,#8cbe8e
188,0.73725490,0.56362536,0.74681027,0.54579900,#90be8b
189,0.74117647,0.57778296,0.74858436,0.53477499,#93bf88
190,0.74509804,0.59176085,0.75031112,0.52352296,#97bf85
191,0.74901961,0.60557274,0.75199073,0.51202562,#9ac083
192,0.75294118,0.61923092,0.75362337,0.50026358,#9ec080
193,0.75686275,0.63274643,0.75520917,0.48821495,#a1c17c
194,0.76078431,0.64612924,0.75674827,0.47585491,#a5c179
195,0.76470588,0.65938835,0.75824079,0.46315511,#a8c176
196,0.76862745,0.67253196,0.75968686,0.45008295,#abc273
197,0.77254902,0.68556754,0.76108657,0.43660064,#afc26f
198,0.77647059,0.69850189,0.76244001,0.42266397,#b2c26c
199,0.78039216,0.71134128,0.76374725,0.40822072,#b5c368
200,0.78431373,0.72409144,0.76500837,0.39320850,#b9c364
201,0.78823529,0.73675765,0.76622342,0.37755174,#bcc360
202,0.79215686,0.74934479,0.76739244,0.36115757,#bfc45c
203,0.79607843,0.76185737,0.76851547,0.34390973,#c2c458
204,0.80000000,0.77429956,0.76959254,0.32565959,#c5c453
205,0.80392157,0.78667524,0.77062365,0.30621211,#c9c54e
206,0.80784314,0.79898801,0.77160880,0.28530302,#ccc549
207,0.81176471,0.81124123,0.77254799,0.26255924,#cfc543
208,0.81568627,0.82343804,0.77344121,0.23742487,#d2c53d
209,0.81960784,0.83558136,0.77428841,0.20900721,#d5c535
210,0.82352941,0.84767393,0.77508956,0.17570373,#d8c62d
211,0.82745098,0.85971832,0.77584461,0.13404772,#dbc622
212,0.83137255,0.87171693,0.77655351,0.07280435,#dec613
213,0.83529412,0.88267340,0.77737154,0.00000000,#e1c600
214,0.83921569,0.89162583,0.77852388,0.00000000,#e3c700
215,0.84313725,0.90033113,0.77977041,0.00000000,#e6c700
216,0.84705882,0.90881065,0.78110469,0.00000000,#e8c700
217,0.85098039,0.91708334,0.78252089,0.00000000,#eac800
218,0.85490196,0.92516610,0.78401369,0.00000000,#ecc800
219,0.85882353,0.93307406,0.78557824,0.00000000,#eec800
220,0.86274510,0.94082079,0.78721010,0.00000000,#f0c900
221,0.86666667,0.94841851,0.78890519,0.00000000,#f2c900
222,0.87058824,0.95587827,0.79065980,0.00000000,#f4ca00
223,0.87450980,0.96321003,0.79247049,0.00000000,#f6ca00
224,0.87843137,0.97042287,0.79433408,0.00000000,#f7cb00
225,0.88235294,0.97576178,0.79713306,0.00000000,#f9cb00
226,0.88627451,0.97990725,0.80053379,0.00000000,#facc00
227,0.89019608,0.98405712,0.80393669,0.00000000,#fbcd00
228,0.89411765,0.98821145,0.80734172,0.00000000,#fcce00
229,0.89803922,0.99237033,0.81074881,0.00000000,#fdcf00
230,0.90196078,0.99653385,0.81415793,0.00000000,#fed000
231,0.90588235,1.00000000,0.81775654,0.02620089,#ffd107
232,0.90980392,1.00000000,0.82226638,0.12466716,#ffd220
233,0.91372549,1.00000000,0.82674896,0.17891868,#ffd32e
234,0.91764706,1.00000000,0.83120454,0.22065822,#ffd438
235,0.92156863,1.00000000,0.83563337,0.25593544,#ffd541
236,0.92549020,1.00000000,0.84003570,0.28715691,#ffd649
237,0.92941176,1.00000000,0.84441175,0.31555997,#ffd750
238,0.93333333,1.00000000,0.84876174,0.34187617,#ffd857
239,0.93725490,1.00000000,0.85308588,0.36657853,#ffda5d
240,0.94117647,1.00000000,0.85738438,0.38999271,#ffdb63
241,0.94509804,1.00000000,0.86165741,0.41235361,#ffdc69
242,0.94901961,1.00000000,0.86590515,0.43383687,#ffdd6f
243,0.95294118,1.00000000,0.87012776,0.45457766,#ffde74
244,0.95686275,0.99931340,0.87444462,0.47771432,#ffdf7a
245,0.96078431,0.99832145,0.87877684,0.50140085,#ffe080
246,0.96470588,0.99732499,0.88307002,0.52438233,#fee186
247,0.96862745,0.99632429,0.88732424,0.54675730,#fee28b
248,0.97254902,0.99531962,0.89153958,0.56860565,#fee391
249,0.97647059,0.99431125,0.89571612,0.58999310,#fee496
250,0.98039216,0.99329945,0.89985393,0.61097443,#fde59c
251,0.98431373,0.99228449,0.90395306,0.63159574,#fde7a1
252,0.98823529,0.99126665,0.90801357,0.65189629,#fde8a6
253,0.99215686,0.99024621,0.91203552,0.67190973,#fde9ab
254,0.99607843,0.98922343,0.91601896,0.69166517,#fceab0
255,1.00000000,0.98819861,0.91996391,0.71118794,#fcebb5
