index,x,r,g,b,hex
141,0.55294118,0.17410423,0.51332824,1.00000000,#2c83ff
142,0.55686275,0.17737316,0.51815866,1.00000000,#2d84ff
143,0.56078431,0.18064884,0.52296959,1.00000000,#2e85ff
144,0.56470588,0.18392925,0.52776186,1.00000000,#2f87ff
145,0.56862745,0.18721241,0.53253627,1.00000000,#3088ff
146,0.57254902,0.19049640,0.53729361,1.00000000,#3189ff
147,0.57647059,0.19377936,0.54203464,1.00000000,#318aff
148,0.58039216,0.19705944,0.54676010,1.00000000,#328bff
149,0.58431373,0.20033485,0.55147072,1.00000000,#338dff
150,0.58823529,0.20360380,0.55616720,1.00000000,#348eff
151,0.59215686,0.20686453,0.56085026,1.00000000,#358fff
152,0.59607843,0.21011528,0.56552056,1.00000000,#3690ff
153,0.60000000,0.21335430,0.57017878,1.00000000,#3691ff
154,0.60392157,0.21657983,0.57482557,1.00000000,#3793ff
155,0.60784314,0.21979010,0.57946160,1.00000000,#3894ff
156,0.61176471,0.22298333,0.58408750,1.00000000,#3995ff
157,0.61568627,0.22615770,0.58870391,1.00000000,#3a96ff
158,0.61960784,0.22931136,0.59331147,1.00000000,#3a97ff
159,0.62352941,0.23244244,0.59791080,1.00000000,#3b98ff
160,0.62745098,0.23554899,0.60250254,1.00000000,#3c9aff
161,0.63137255,0.23862904,0.60708730,1.00000000,#3d9bff
162,0.63529412,0.24208433,0.61168541,0.99973343,#3e9cff
163,0.63921569,0.24712855,0.61634750,0.99840447,#3f9dff
164,0.64313725,0.25217597,0.62099074,0.99706393,#409efe
165,0.64705882,0.25722645,0.62561560,0.99571173,#42a0fe
166,0.65098039,0.26227985,0.63022254,0.99434778,#43a1fe
167,0.65490196,0.26733607,0.63481199,0.99297197,#44a2fd
168,0.65882353,0.27239499,0.63938439,0.99158420,#45a3fd
169,0.66274510,0.27745654,0.64394014,0.99018437,#47a4fc
170,0.66666667,0.28252063,0.64847964,0.98877239,#48a5fc
171,0.67058824,0.28758720,0.65300329,0.98734815,#49a7fc
172,0.67450980,0.29265620,0.65751144,0.98591154,#4ba8fb
173,0.67843137,0.29772756,0.66200446,0.98446246,#4ca9fb
174,0.68235294,0.30280126,0.66648270,0.98300080,#4daafb
175,0.68627451,0.30787724,0.67094649,0.98152645,#4fabfa
176,0.69019608,0.31295550,0.67539617,0.98003931,#50acfa
177,0.69411765,0.31803599,0.67983205,0.97853925,#51adfa
